Series Name,Series Code,Country Name,Country Code,Research and development expenditure (% of GDP),Ease of doing business rank (1=most business-friendly regulations),GDP per capita (current US$),GDP per capita growth (annual %)
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,173,497.7414313,0.932833386
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,82,5396.214243,2.523540843
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,157,4530.101745,-0.939034027
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,13672.57666,1.831713966
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,AND,..,..,41328.6005,0.23829657
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,177,2191.347764,-4.017114161
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,113,18730.0048,2.550901433
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,0.478130013,126,9963.674162,-2.969562499
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,0.178540006,47,4828.504886,8.2086495
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,31902.80982,-2.74340148
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,1.828920007,14,55049.57192,0.682490945
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,3.132469893,27,50067.58573,1.000406953
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Azerbaijan,AZE,0.200130001,28,4805.753718,1.635850481
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Bahamas, The",BHS,..,119,32173.95818,-2.003655928
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bahrain,BHR,..,43,25869.11291,1.698724144
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bangladesh,BGD,..,168,2122.037652,6.687662727
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Barbados,BRB,..,128,19156.03987,0.203625235
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belarus,BLR,0.577329993,49,6837.768321,1.651118196
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belgium,BEL,3.156599998,46,46641.7214,1.689753689
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belize,BLZ,..,135,6134.215233,2.353207273
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Benin,BEN,..,149,1170.885995,3.824506878
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bermuda,BMU,0.264510006,..,116153.1661,0.317253011
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bhutan,BTN,..,89,3564.598771,5.016132016
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bolivia,BOL,..,150,3472.380831,0.737697155
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bosnia and Herzegovina,BIH,0.190009996,90,6094.724823,4.09411575
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Botswana,BWA,..,87,6691.160846,1.04167164
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,1.210960031,124,8845.324149,0.448280407
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,British Virgin Islands,VGB,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brunei Darussalam,BRN,..,66,30748.30924,2.974226152
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bulgaria,BGR,0.832360029,61,9874.336326,4.770081953
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burkina Faso,BFA,0.172780007,151,765.2295604,3.064453604
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burundi,BDI,..,166,216.9729709,-1.457193033
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cabo Verde,CPV,..,137,3903.050317,5.867653835
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cambodia,KHM,..,144,1671.3854,5.848619694
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cameroon,CMR,..,167,1538.563063,0.643223204
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Canada,CAN,1.755730033,23,46352.86934,0.429657581
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cayman Islands,CYM,..,..,89846.3211,1.951524945
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Central African Republic,CAF,..,184,426.4087531,0.833009811
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chad,TCD,..,182,701.621201,-0.098958561
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Channel Islands,CHI,..,..,58564.3501,1.061069536
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,0.342049986,59,14616.20725,-1.152337224
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,2.244630098,32,10143.86022,5.575316863
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Colombia,COL,0.32201001,67,6436.509215,1.314952378
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Comoros,COM,..,160,1510.797324,-0.126909212
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",COD,..,183,575.8827814,1.110966274
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,180,2508.940444,-1.229416403
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,..,74,12669.34115,1.535290566
