Series Name,"Exports of goods and services (BoP, current US$ Millions)","Imports of goods and services (BoP, current US$ Millions)","Net trade in goods and services (BoP, current US$ Millions)"
2000,427407.9286,447180.1093,-19772.18073
2001,421575.0936,449999.7772,-28424.68361
2002,438536.4613,480862.4578,-42325.99654
2003,494733.6701,538371.5147,-43637.84463
2004,583174.928,638938.9306,-55764.00261
2005,642253.5049,696615.1839,-54361.67907
2006,745310.5789,796268.5159,-50957.93699
2007,789226.0173,849225.7785,-59999.76125
2008,812380.8044,864565.1796,-52184.37524
2009,651395.6772,681574.9818,-30179.30457
2010,717698.1183,756632.6536,-38934.53522
2011,836204.3893,857416.0629,-21211.6736
2012,828852.3586,855657.955,-26805.59642
2013,843744.9267,883537.593,-39792.66634
2014,875910.6189,935267.9949,-59357.37606
2015,815254.5526,859678.8127,-44424.2601
2016,777697.4635,828496.3061,-50798.84259
2017,829126.154,865050.5855,-35924.43156
2018,906757.1639,946335.0251,-39577.86119
2019,902153.0433,941982.681,-39829.63774
2020,802020.0232,786950.1482,15069.87493
2021,929185.0074,933904.3658,-4719.358455
2022,1028830.036,1115470.573,-86640.53669
2023,1074780.94,1116420.031,-41639.0902
