Date,Right (%),Wrong (%)
1/1/16,46.00,44.00
2/1/16,45.83,44.17
3/3/16,45.66,44.34
4/4/16,45.48,44.52
5/5/16,45.31,44.69
6/6/16,45.14,44.86
7/7/16,44.97,45.03
8/7/16,44.79,45.21
9/8/16,44.62,45.38
10/9/16,44.45,45.55
11/10/16,44.28,45.72
12/11/16,44.10,45.90
1/11/17,43.93,46.03
2/12/17,43.76,46.12
3/15/17,43.59,46.21
4/16/17,43.41,46.29
5/17/17,43.24,46.38
6/18/17,43.07,46.47
7/19/17,42.90,46.55
8/19/17,42.72,46.64
9/20/17,42.55,46.72
10/21/17,42.38,46.81
11/22/17,42.21,46.90
12/23/17,42.03,46.98
1/23/18,41.86,47.07
2/24/18,41.69,47.16
3/27/18,41.52,47.24
4/28/18,41.34,47.33
5/29/18,41.17,47.41
6/30/18,41.00,47.50
