Country,GDP Share
American Samoa,0.4
Australia,1.83
Austria,3.26
Azerbaijan,0.15
Burundi,0.21
Belgium,3.43
Burkina Faso,0.25
Bulgaria,0.77
Bahrain,0.1
Bosnia and Herzegovina,0.19
Belarus,0.48
Bermuda,0.23
Bolivia,0.16
Brazil,1.15
Brunei,0.28
Botswana,0.56
Canada,1.55
Switzerland,3.36
Chile,0.33
China,2.43
Ivory Coast,0.07
Democratic Republic of the Congo,0.41
Republic of the Congo,0.41
Colombia,0.29
Cape Verde,0.07
Costa Rica,0.28
Cuba,0.32
Cyprus,0.83
Czech Republic,2
Germany,3.14
Denmark,2.81
Algeria,0.53
Ecuador,0.44
Egypt,1.02
Spain,1.43
Estonia,1.75
Ethiopia,0.27
Finland,2.99
France,2.22
Faroe Islands,0.85
Gabon,0.58
United Kingdom,2.91
Georgia,0.24
Ghana,0.38
Gambia,0.07
Greece,1.46
Greenland,0.65
Guatemala,0.06
Guam,0.26
Hong Kong,1.07
Honduras,0.06
Croatia,1.24
Hungary,1.64
Indonesia,0.28
India,0.65
Ireland,1.13
Iran,0.79
Iraq,0.04
Iceland,2.81
Israel,5.56
Italy,1.45
Jamaica,0.06
Jordan,0.7
Japan,3.3
Kazakhstan,0.12
Kenya,0.41
Kyrgyzstan,0.08
Cambodia,0.12
South Korea,4.93
Kuwait,0.08
Laos,0.04
Saint Lucia,0.27
Sri Lanka,0.12
Lesotho,0.05
Lithuania,1.11
Luxembourg,1.04
Latvia,0.74
Macau,0.49
Morocco,0.66
Monaco,0.04
Moldova,0.23
Madagascar,0.01
Mexico,0.27
North Macedonia,0.38
Mali,0.17
Malta,0.67
Myanmar,0.04
Montenegro,0.36
Mongolia,0
Mozambique,0.31
Mauritania,0.01
Mauritius,0.31
Malaysia,0.95
Namibia,0.35
Nigeria,0.28
Nicaragua,0.11
Netherlands,2.31
Norway,1.94
Nepal,0.3
New Zealand,1.45
Oman,0.28
Pakistan,0.16
Panama,0.18
Peru,0.16
Philippines,0.32
Papua New Guinea,0.03
Poland,1.44
Puerto Rico,0.43
Portugal,1.73
Paraguay,0.14
Palestine,0.45
Qatar,0.68
Romania,0.47
Russia,0.94
Rwanda,0.76
Saudi Arabia,0.46
Sudan,0.22
Senegal,0.58
Singapore,2.16
El Salvador,0.16
Serbia,0.97
Slovakia,0.92
Slovenia,2.13
Sweden,3.42
Eswatini,0.27
Seychelles,0.22
Syria,0.02
Chad,0.3
Togo,0.2
Thailand,1.21
Tajikistan,0.09
Trinidad and Tobago,0.05
Tunisia,0.75
Turkey,1.4
Tanzania,0.51
Uganda,0.14
Ukraine,0.33
Uruguay,0.42
United States,3.46
Uzbekistan,0.16
Saint Vincent and the Grenadines,0.11
Venezuela,0.69
United States Virgin Islands,0.03
Vietnam,0.43
South Africa,0.6
Zambia,0.28
