Series Code,Country Name,Country Code,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",GDP per capita (constant 2015 US$)
SE.SEC.CUAT.LO.ZS,Afghanistan,AFG,15.3429203,372.6158948
SE.SEC.CUAT.LO.ZS,Albania,ALB,92.1410675,5155.29086
SE.SEC.CUAT.LO.ZS,Algeria,DZA,..,4602.575608
SE.SEC.CUAT.LO.ZS,American Samoa,ASM,..,14969.05994
SE.SEC.CUAT.LO.ZS,Andorra,AND,83.16000366,39720.95186
SE.SEC.CUAT.LO.ZS,Angola,AGO,..,2385.119956
SE.SEC.CUAT.LO.ZS,Antigua and Barbuda,ATG,..,17335.04704
SE.SEC.CUAT.LO.ZS,Argentina,ARG,..,12940.73844
SE.SEC.CUAT.LO.ZS,Armenia,ARM,99.18773651,5116.205756
SE.SEC.CUAT.LO.ZS,Aruba,ABW,..,32492.17888
SE.SEC.CUAT.LO.ZS,Australia,AUS,95.01999664,60972.87034
SE.SEC.CUAT.LO.ZS,Austria,AUT,98.8794632,46697.85652
SE.SEC.CUAT.LO.ZS,Azerbaijan,AZE,98.6476593,5595.255787
SE.SEC.CUAT.LO.ZS,"Bahamas, The",BHS,..,29477.23585
SE.SEC.CUAT.LO.ZS,Bahrain,BHR,83.02999878,24353.07326
SE.SEC.CUAT.LO.ZS,Bangladesh,BGD,45.60678482,1785.361317
SE.SEC.CUAT.LO.ZS,Barbados,BRB,..,16947.38221
SE.SEC.CUAT.LO.ZS,Belarus,BLR,..,6206.648855
SE.SEC.CUAT.LO.ZS,Belgium,BEL,89.59662628,44198.196
SE.SEC.CUAT.LO.ZS,Belize,BLZ,..,6191.662837
SE.SEC.CUAT.LO.ZS,Benin,BEN,22.1089344,1255.607293
SE.SEC.CUAT.LO.ZS,Bermuda,BMU,..,112431.3841
SE.SEC.CUAT.LO.ZS,Bhutan,BTN,..,3336.376299
SE.SEC.CUAT.LO.ZS,Bolivia,BOL,61.26228333,3134.766321
SE.SEC.CUAT.LO.ZS,Bosnia and Herzegovina,BIH,91.02999878,6270.858487
SE.SEC.CUAT.LO.ZS,Botswana,BWA,70.0046463,6641.569807
SE.SEC.CUAT.LO.ZS,Brazil,BRA,66.51000214,8822.045043
SE.SEC.CUAT.LO.ZS,British Virgin Islands,VGB,..,..
SE.SEC.CUAT.LO.ZS,Brunei Darussalam,BRN,87.50891113,28954.06409
SE.SEC.CUAT.LO.ZS,Bulgaria,BGR,96.37503052,9550.94255
SE.SEC.CUAT.LO.ZS,Burkina Faso,BFA,12.90440464,735.9981319
SE.SEC.CUAT.LO.ZS,Burundi,BDI,..,262.1848047
SE.SEC.CUAT.LO.ZS,Cabo Verde,CPV,..,3551.248242
SE.SEC.CUAT.LO.ZS,Cambodia,KHM,..,1488.814551
SE.SEC.CUAT.LO.ZS,Cameroon,CMR,..,1441.794905
SE.SEC.CUAT.LO.ZS,Canada,CAN,96.10696411,45227.14474
SE.SEC.CUAT.LO.ZS,Cayman Islands,CYM,..,82929.3038
SE.SEC.CUAT.LO.ZS,Central African Republic,CAF,..,364.6907534
SE.SEC.CUAT.LO.ZS,Chad,TCD,..,593.7719296
SE.SEC.CUAT.LO.ZS,Channel Islands,CHI,..,..
SE.SEC.CUAT.LO.ZS,Chile,CHL,84.61000061,14235.36163
SE.SEC.CUAT.LO.ZS,China,CHN,..,11560.24212
SE.SEC.CUAT.LO.ZS,Colombia,COL,60.13999939,6836.228737
SE.SEC.CUAT.LO.ZS,Comoros,COM,31.62014961,1362.778022
SE.SEC.CUAT.LO.ZS,"Congo, Dem. Rep.",COD,..,528.7888345
SE.SEC.CUAT.LO.ZS,"Congo, Rep.",COG,..,1704.267484
SE.SEC.CUAT.LO.ZS,Costa Rica,CRI,50.13999939,13424.4647
SE.SEC.CUAT.LO.ZS,Cote d'Ivoire,CIV,25.40959358,2399.699938
SE.SEC.CUAT.LO.ZS,Croatia,HRV,95.40287781,16712.03605
SE.SEC.CUAT.LO.ZS,Cuba,CUB,..,7449.68288
SE.SEC.CUAT.LO.ZS,Curacao,CUW,..,17391.61578
SE.SEC.CUAT.LO.ZS,Cyprus,CYP,85.8635025,30556.71875
SE.SEC.CUAT.LO.ZS,Czechia,CZE,99.1881485,20237.29455
SE.SEC.CUAT.LO.ZS,Denmark,DNK,91.73075867,60345.55732
SE.SEC.CUAT.LO.ZS,Djibouti,DJI,..,2968.251546
SE.SEC.CUAT.LO.ZS,Dominica,DMA,..,7335.194758
SE.SEC.CUAT.LO.ZS,Dominican Republic,DOM,65.98999786,8732.080739
SE.SEC.CUAT.LO.ZS,Ecuador,ECU,54.22999954,6087.535279
