Office,Office (Code),Origin,Field of technology,Year,Patent Count
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1980,815.0
European Patent Office,EP,Total,2 - Audio-visual technology,1980,347.0
European Patent Office,EP,Total,3 - Telecommunications,1980,241.0
European Patent Office,EP,Total,4 - Digital communication,1980,84.0
European Patent Office,EP,Total,5 - Basic communication processes,1980,180.0
European Patent Office,EP,Total,6 - Computer technology,1980,295.0
European Patent Office,EP,Total,7 - IT methods for management,1980,4.0
European Patent Office,EP,Total,8 - Semiconductors,1980,274.0
European Patent Office,EP,Total,9 - Optics,1980,425.0
European Patent Office,EP,Total,10 - Measurement,1980,656.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1980,105.0
European Patent Office,EP,Total,12 - Control,1980,223.0
European Patent Office,EP,Total,13 - Medical technology,1980,360.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1980,1271.0
European Patent Office,EP,Total,15 - Biotechnology,1980,167.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1980,425.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1980,766.0
European Patent Office,EP,Total,18 - Food chemistry,1980,136.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1980,839.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1980,501.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1980,281.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1980,
European Patent Office,EP,Total,23 - Chemical engineering,1980,605.0
European Patent Office,EP,Total,24 - Environmental technology,1980,197.0
European Patent Office,EP,Total,25 - Handling,1980,542.0
European Patent Office,EP,Total,26 - Machine tools,1980,490.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1980,403.0
European Patent Office,EP,Total,28 - Textile and paper machines,1980,562.0
European Patent Office,EP,Total,29 - Other special machines,1980,608.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1980,339.0
European Patent Office,EP,Total,31 - Mechanical elements,1980,621.0
European Patent Office,EP,Total,32 - Transport,1980,516.0
European Patent Office,EP,Total,"33 - Furniture, games",1980,242.0
European Patent Office,EP,Total,34 - Other consumer goods,1980,226.0
European Patent Office,EP,Total,35 - Civil engineering,1980,539.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1980,3805.0
United States of America,US,Total,2 - Audio-visual technology,1980,1697.0
United States of America,US,Total,3 - Telecommunications,1980,981.0
United States of America,US,Total,4 - Digital communication,1980,186.0
United States of America,US,Total,5 - Basic communication processes,1980,906.0
United States of America,US,Total,6 - Computer technology,1980,954.0
United States of America,US,Total,7 - IT methods for management,1980,25.0
United States of America,US,Total,8 - Semiconductors,1980,856.0
United States of America,US,Total,9 - Optics,1980,2525.0
United States of America,US,Total,10 - Measurement,1980,3253.0
United States of America,US,Total,11 - Analysis of biological materials,1980,290.0
United States of America,US,Total,12 - Control,1980,1027.0
United States of America,US,Total,13 - Medical technology,1980,2026.0
United States of America,US,Total,14 - Organic fine chemistry,1980,3731.0
United States of America,US,Total,15 - Biotechnology,1980,495.0
United States of America,US,Total,16 - Pharmaceuticals,1980,904.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1980,2016.0
United States of America,US,Total,18 - Food chemistry,1980,564.0
United States of America,US,Total,19 - Basic materials chemistry,1980,2512.0
United States of America,US,Total,"20 - Materials, metallurgy",1980,1879.0
United States of America,US,Total,"21 - Surface technology, coating",1980,1121.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1980,1.0
United States of America,US,Total,23 - Chemical engineering,1980,2584.0
United States of America,US,Total,24 - Environmental technology,1980,972.0
United States of America,US,Total,25 - Handling,1980,2629.0
United States of America,US,Total,26 - Machine tools,1980,2521.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1980,2400.0
United States of America,US,Total,28 - Textile and paper machines,1980,1979.0
United States of America,US,Total,29 - Other special machines,1980,3349.0
United States of America,US,Total,30 - Thermal processes and apparatus,1980,1526.0
United States of America,US,Total,31 - Mechanical elements,1980,2756.0
United States of America,US,Total,32 - Transport,1980,2749.0
United States of America,US,Total,"33 - Furniture, games",1980,2192.0
United States of America,US,Total,34 - Other consumer goods,1980,1851.0
United States of America,US,Total,35 - Civil engineering,1980,2657.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1981,1423.0
European Patent Office,EP,Total,2 - Audio-visual technology,1981,576.0
European Patent Office,EP,Total,3 - Telecommunications,1981,401.0
European Patent Office,EP,Total,4 - Digital communication,1981,143.0
European Patent Office,EP,Total,5 - Basic communication processes,1981,318.0
European Patent Office,EP,Total,6 - Computer technology,1981,545.0
European Patent Office,EP,Total,7 - IT methods for management,1981,13.0
European Patent Office,EP,Total,8 - Semiconductors,1981,499.0
European Patent Office,EP,Total,9 - Optics,1981,754.0
European Patent Office,EP,Total,10 - Measurement,1981,983.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1981,144.0
European Patent Office,EP,Total,12 - Control,1981,355.0
European Patent Office,EP,Total,13 - Medical technology,1981,644.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1981,1734.0
European Patent Office,EP,Total,15 - Biotechnology,1981,287.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1981,614.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1981,1019.0
European Patent Office,EP,Total,18 - Food chemistry,1981,225.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1981,1238.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1981,782.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1981,489.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1981,
European Patent Office,EP,Total,23 - Chemical engineering,1981,964.0
European Patent Office,EP,Total,24 - Environmental technology,1981,294.0
European Patent Office,EP,Total,25 - Handling,1981,836.0
European Patent Office,EP,Total,26 - Machine tools,1981,773.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1981,714.0
European Patent Office,EP,Total,28 - Textile and paper machines,1981,812.0
European Patent Office,EP,Total,29 - Other special machines,1981,1029.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1981,585.0
European Patent Office,EP,Total,31 - Mechanical elements,1981,901.0
European Patent Office,EP,Total,32 - Transport,1981,801.0
European Patent Office,EP,Total,"33 - Furniture, games",1981,398.0
European Patent Office,EP,Total,34 - Other consumer goods,1981,451.0
European Patent Office,EP,Total,35 - Civil engineering,1981,786.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1981,4097.0
United States of America,US,Total,2 - Audio-visual technology,1981,1725.0
United States of America,US,Total,3 - Telecommunications,1981,995.0
United States of America,US,Total,4 - Digital communication,1981,217.0
United States of America,US,Total,5 - Basic communication processes,1981,1022.0
United States of America,US,Total,6 - Computer technology,1981,1000.0
United States of America,US,Total,7 - IT methods for management,1981,21.0
United States of America,US,Total,8 - Semiconductors,1981,900.0
United States of America,US,Total,9 - Optics,1981,2838.0
United States of America,US,Total,10 - Measurement,1981,3430.0
United States of America,US,Total,11 - Analysis of biological materials,1981,347.0
United States of America,US,Total,12 - Control,1981,1096.0
United States of America,US,Total,13 - Medical technology,1981,2098.0
United States of America,US,Total,14 - Organic fine chemistry,1981,3968.0
United States of America,US,Total,15 - Biotechnology,1981,572.0
United States of America,US,Total,16 - Pharmaceuticals,1981,980.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1981,2350.0
United States of America,US,Total,18 - Food chemistry,1981,572.0
United States of America,US,Total,19 - Basic materials chemistry,1981,2816.0
United States of America,US,Total,"20 - Materials, metallurgy",1981,1953.0
United States of America,US,Total,"21 - Surface technology, coating",1981,1270.0
