Office,Office (Code),Origin,Field of technology,Year,Patent Count
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1980,815.0
European Patent Office,EP,Total,6 - Computer technology,1980,295.0
European Patent Office,EP,Total,13 - Medical technology,1980,360.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1980,425.0
European Patent Office,EP,Total,24 - Environmental technology,1980,197.0
European Patent Office,EP,Total,32 - Transport,1980,516.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1980,3805.0
United States of America,US,Total,6 - Computer technology,1980,954.0
United States of America,US,Total,13 - Medical technology,1980,2026.0
United States of America,US,Total,16 - Pharmaceuticals,1980,904.0
United States of America,US,Total,24 - Environmental technology,1980,972.0
United States of America,US,Total,32 - Transport,1980,2749.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1981,1423.0
European Patent Office,EP,Total,6 - Computer technology,1981,545.0
European Patent Office,EP,Total,13 - Medical technology,1981,644.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1981,614.0
European Patent Office,EP,Total,24 - Environmental technology,1981,294.0
European Patent Office,EP,Total,32 - Transport,1981,801.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1981,4097.0
United States of America,US,Total,6 - Computer technology,1981,1000.0
United States of America,US,Total,13 - Medical technology,1981,2098.0
United States of America,US,Total,16 - Pharmaceuticals,1981,980.0
United States of America,US,Total,24 - Environmental technology,1981,1047.0
United States of America,US,Total,32 - Transport,1981,3002.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1982,1541.0
European Patent Office,EP,Total,6 - Computer technology,1982,596.0
European Patent Office,EP,Total,13 - Medical technology,1982,737.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1982,672.0
European Patent Office,EP,Total,24 - Environmental technology,1982,351.0
European Patent Office,EP,Total,32 - Transport,1982,1049.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1982,4057.0
United States of America,US,Total,6 - Computer technology,1982,997.0
United States of America,US,Total,13 - Medical technology,1982,1839.0
United States of America,US,Total,16 - Pharmaceuticals,1982,918.0
United States of America,US,Total,24 - Environmental technology,1982,835.0
United States of America,US,Total,32 - Transport,1982,2640.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1983,1824.0
European Patent Office,EP,Total,6 - Computer technology,1983,779.0
European Patent Office,EP,Total,13 - Medical technology,1983,956.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1983,790.0
European Patent Office,EP,Total,24 - Environmental technology,1983,366.0
European Patent Office,EP,Total,32 - Transport,1983,1117.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1983,3868.0
United States of America,US,Total,6 - Computer technology,1983,1083.0
United States of America,US,Total,13 - Medical technology,1983,1772.0
United States of America,US,Total,16 - Pharmaceuticals,1983,842.0
United States of America,US,Total,24 - Environmental technology,1983,761.0
United States of America,US,Total,32 - Transport,1983,2453.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1984,1961.0
European Patent Office,EP,Total,6 - Computer technology,1984,879.0
European Patent Office,EP,Total,13 - Medical technology,1984,1071.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1984,937.0
European Patent Office,EP,Total,24 - Environmental technology,1984,397.0
European Patent Office,EP,Total,32 - Transport,1984,1219.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1984,4547.0
United States of America,US,Total,6 - Computer technology,1984,1403.0
United States of America,US,Total,13 - Medical technology,1984,2199.0
United States of America,US,Total,16 - Pharmaceuticals,1984,1097.0
United States of America,US,Total,24 - Environmental technology,1984,880.0
United States of America,US,Total,32 - Transport,1984,3033.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1985,2220.0
European Patent Office,EP,Total,6 - Computer technology,1985,988.0
European Patent Office,EP,Total,13 - Medical technology,1985,1217.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1985,1058.0
European Patent Office,EP,Total,24 - Environmental technology,1985,471.0
European Patent Office,EP,Total,32 - Transport,1985,1385.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1985,4649.0
United States of America,US,Total,6 - Computer technology,1985,1441.0
United States of America,US,Total,13 - Medical technology,1985,2461.0
United States of America,US,Total,16 - Pharmaceuticals,1985,1075.0
United States of America,US,Total,24 - Environmental technology,1985,883.0
United States of America,US,Total,32 - Transport,1985,3031.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1986,2552.0
European Patent Office,EP,Total,6 - Computer technology,1986,1233.0
European Patent Office,EP,Total,13 - Medical technology,1986,1427.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1986,1266.0
European Patent Office,EP,Total,24 - Environmental technology,1986,565.0
European Patent Office,EP,Total,32 - Transport,1986,1574.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1986,4400.0
United States of America,US,Total,6 - Computer technology,1986,1646.0
United States of America,US,Total,13 - Medical technology,1986,2863.0
United States of America,US,Total,16 - Pharmaceuticals,1986,1124.0
United States of America,US,Total,24 - Environmental technology,1986,866.0
United States of America,US,Total,32 - Transport,1986,3322.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1987,2580.0
European Patent Office,EP,Total,6 - Computer technology,1987,1277.0
European Patent Office,EP,Total,13 - Medical technology,1987,1689.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1987,1389.0
European Patent Office,EP,Total,24 - Environmental technology,1987,634.0
European Patent Office,EP,Total,32 - Transport,1987,1818.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1987,5581.0
United States of America,US,Total,6 - Computer technology,1987,2122.0
United States of America,US,Total,13 - Medical technology,1987,3454.0
United States of America,US,Total,16 - Pharmaceuticals,1987,1356.0
United States of America,US,Total,24 - Environmental technology,1987,1010.0
United States of America,US,Total,32 - Transport,1987,4238.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1988,2658.0
European Patent Office,EP,Total,6 - Computer technology,1988,1370.0
European Patent Office,EP,Total,13 - Medical technology,1988,1701.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1988,1559.0
European Patent Office,EP,Total,24 - Environmental technology,1988,637.0
European Patent Office,EP,Total,32 - Transport,1988,1867.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1988,4932.0
