Office,Office (Code),Origin,Field of technology,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,R1,Total,"1 - Electrical machinery, apparatus, energy",235,270,338,357,299,284,252,221,203,205,189,217,191,160,129,224,226,204,207,266,136,153,204,201,170,122,97,126,193,208,225,153,249,227,232,113,83,53,69,97,97,78,61,33
Africa,R1,Total,2 - Audio-visual technology,39,58,88,75,61,72,70,51,49,37,45,55,67,55,53,55,62,68,65,76,44,81,77,80,94,88,75,87,75,72,66,36,59,41,39,43,37,20,11,24,19,20,14,3
Africa,R1,Total,3 - Telecommunications,49,82,47,93,53,63,65,47,25,47,40,52,45,45,55,63,109,83,94,137,71,77,87,108,91,74,78,71,134,119,105,57,78,63,78,50,59,27,26,24,10,12,16,7
Africa,R1,Total,4 - Digital communication,12,34,19,24,18,15,17,15,11,15,12,18,19,15,14,28,72,37,83,78,33,43,52,87,78,80,79,116,177,128,129,112,174,157,175,128,88,70,43,101,62,28,16,6
Africa,R1,Total,5 - Basic communication processes,23,27,32,35,21,36,25,19,13,13,13,13,15,13,11,18,19,16,14,9,10,9,23,15,15,12,11,8,12,17,9,9,11,8,12,15,10,1,2,4,3,3,1,2
Africa,R1,Total,6 - Computer technology,29,41,40,38,48,44,50,39,25,29,38,28,54,39,29,33,75,55,73,79,68,72,137,147,177,186,128,152,233,197,157,127,199,185,186,104,45,40,41,63,59,56,25,15
Africa,R1,Total,7 - IT methods for management,2,4,1,1,1,1,2,1,,2,,1,2,3,2,2,10,17,21,16,22,38,28,35,58,45,45,45,54,79,97,83,92,74,84,65,36,29,17,18,26,13,10,10
Africa,R1,Total,8 - Semiconductors,12,18,17,21,16,19,25,13,12,13,16,12,13,11,11,8,14,10,9,12,9,11,5,14,17,11,16,15,16,31,29,27,53,54,48,29,18,9,14,8,12,11,5,2
Africa,R1,Total,9 - Optics,33,44,56,72,68,70,59,56,40,38,34,58,33,35,34,56,62,68,46,44,20,23,53,36,43,29,20,24,46,33,30,14,48,46,50,20,10,7,9,23,22,23,18,1
Africa,R1,Total,10 - Measurement,134,175,173,188,169,150,124,128,100,114,125,144,133,120,85,99,156,134,114,105,75,91,136,141,140,97,130,101,121,121,121,85,137,136,155,92,43,46,39,47,54,65,51,19
Africa,R1,Total,11 - Analysis of biological materials,20,27,31,23,37,40,44,46,55,49,41,43,30,48,38,31,44,42,40,40,13,28,44,55,52,49,47,35,30,9,15,20,21,18,16,13,16,25,21,29,24,40,18,3
Africa,R1,Total,12 - Control,49,62,82,98,67,66,58,50,56,70,43,60,57,61,50,52,93,104,133,120,90,108,107,167,176,151,94,84,117,98,82,46,85,84,98,72,31,28,33,34,34,20,18,11
Africa,R1,Total,13 - Medical technology,124,152,169,194,208,224,227,194,215,198,214,269,280,285,252,306,449,391,414,345,177,225,365,405,404,292,288,371,567,473,441,205,396,353,313,184,76,83,91,107,97,176,90,27
Africa,R1,Total,14 - Organic fine chemistry,900,1006,927,1015,966,986,959,992,829,870,896,964,1035,1030,823,812,986,1011,999,971,479,421,983,1046,1372,1113,1171,1073,1289,1095,950,563,866,656,743,361,198,245,231,221,216,357,175,18
Africa,R1,Total,15 - Biotechnology,53,111,112,127,153,185,201,245,259,252,257,279,315,307,245,254,355,305,298,311,142,161,339,328,347,294,335,360,560,546,519,270,538,426,480,239,152,181,256,294,303,327,169,29
Africa,R1,Total,16 - Pharmaceuticals,430,511,537,571,602,621,653,689,648,655,648,714,806,731,597,659,796,754,808,736,344,475,1112,1175,1599,1441,1430,1232,1254,1018,1027,716,1022,846,867,513,398,576,565,588,560,889,439,59
Africa,R1,Total,"17 - Macromolecular chemistry, polymers",189,199,203,258,209,204,245,246,222,240,242,251,226,205,162,168,240,203,218,227,98,94,161,169,164,103,99,95,162,151,109,59,93,81,107,58,23,42,21,32,18,25,21,7
Africa,R1,Total,18 - Food chemistry,127,161,117,156,153,143,133,143,133,146,148,182,201,173,163,149,179,175,199,206,119,126,202,201,191,184,188,199,289,313,267,203,255,201,277,180,124,87,72,69,54,39,29,18
Africa,R1,Total,19 - Basic materials chemistry,711,795,734,856,804,752,695,769,645,581,626,661,649,568,549,492,603,585,630,550,251,234,503,571,514,402,473,486,677,630,602,423,694,624,618,277,161,128,118,137,129,130,119,30
Africa,R1,Total,"20 - Materials, metallurgy",415,526,443,444,393,415,402,336,296,308,307,333,256,285,207,217,330,258,309,253,136,159,279,252,280,185,227,211,340,297,293,194,322,288,311,167,75,78,60,72,96,93,63,38
Africa,R1,Total,"21 - Surface technology, coating",118,173,189,203,192,182,163,140,117,112,125,118,115,137,117,111,152,124,144,128,59,64,99,128,115,83,101,92,116,125,128,59,130,113,107,83,49,25,30,42,69,77,35,12
Africa,R1,Total,22 - Micro-structural and nano-technology,,,,,,,,,,,,,,,,1,,1,5,,,,1,3,,1,,,4,2,3,,1,3,3,2,1,3,1,,1,1,,3
Africa,R1,Total,23 - Chemical engineering,362,440,426,499,460,426,443,393,327,318,346,324,332,346,267,305,368,308,332,328,191,201,323,334,324,227,270,243,335,270,321,219,329,276,280,176,84,60,52,66,71,73,39,21
Africa,R1,Total,24 - Environmental technology,101,122,109,135,105,126,103,110,85,80,102,103,117,128,90,91,133,113,112,115,71,86,114,136,112,80,93,98,162,110,156,125,196,175,151,65,47,43,39,40,43,38,25,17
Africa,R1,Total,25 - Handling,304,321,409,415,442,431,347,350,339,315,308,334,339,337,321,321,455,373,342,304,198,245,290,302,289,251,195,236,453,330,322,175,302,288,288,140,71,60,42,50,63,82,47,12
Africa,R1,Total,26 - Machine tools,168,201,228,207,248,201,169,154,150,144,142,182,176,151,144,169,220,166,136,151,76,94,105,126,142,124,98,117,177,144,132,80,128,107,97,67,22,17,24,29,52,43,31,10
