Series Name,Series Code,Country Name,Country Code,Ease of doing business score (0 = lowest performance to 100 = best performance),Research and development expenditure (% of GDP)
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Afghanistan,AFG,44.06497,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Albania,ALB,67.74847,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Algeria,DZA,48.59758,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,American Samoa,ASM,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Andorra,AND,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Angola,AGO,41.28838,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Antigua and Barbuda,ATG,60.28342,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Argentina,ARG,58.96151,0.478130013
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Armenia,ARM,74.49401,0.178540006
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Aruba,ABW,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Australia,AUS,81.21506,1.828920007
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Austria,AUT,78.74549,3.132469893
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Azerbaijan,AZE,78.50823,0.200130001
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Bahamas, The",BHS,59.87155,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bahrain,BHR,76.02665,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bangladesh,BGD,45.04865,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Barbados,BRB,57.90615,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Belarus,BLR,74.29113,0.577329993
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Belgium,BEL,74.98904,3.156599998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Belize,BLZ,55.47444,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Benin,BEN,52.40404,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bermuda,BMU,..,0.264510006
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bhutan,BTN,65.97305,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bolivia,BOL,51.65574,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bosnia and Herzegovina,BIH,65.44253,0.190009996
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Botswana,BWA,66.1978,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Brazil,BRA,59.08307,1.210960031
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,British Virgin Islands,VGB,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Brunei Darussalam,BRN,70.06387,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Bulgaria,BGR,71.97405,0.832360029
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Burkina Faso,BFA,51.40019,0.172780007
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Burundi,BDI,46.77393,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cabo Verde,CPV,55.03925,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cambodia,KHM,53.84483,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cameroon,CMR,46.09974,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Canada,CAN,79.64043,1.755730033
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cayman Islands,CYM,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Central African Republic,CAF,35.56585,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Chad,TCD,36.93568,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Channel Islands,CHI,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Chile,CHL,72.58023,0.342049986
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,China,CHN,77.28424,2.244630098
