Year,Office,Value
1980,Argentina,711.0
1980,Australia,2749.0
1980,Brazil,1416.0
1980,Canada,4427.0
1980,China,0.0
1980,France,6224.0
1980,Germany,9602.0
1980,India,0.0
1980,Indonesia,0.0
1980,Italy,3956.0
1980,Japan,35573.0
1980,Mexico,0.0
1980,Saudi Arabia,0.0
1980,South Africa,936.0
1980,United Kingdom,9627.0
1980,United States of America,11410.0
1981,Argentina,602.0
1981,Australia,2240.0
1981,Brazil,1304.0
1981,Canada,4160.0
1981,China,0.0
1981,France,5555.0
1981,Germany,7845.0
1981,India,0.0
1981,Indonesia,0.0
1981,Italy,3304.0
1981,Japan,35105.0
1981,Mexico,458.0
1981,Saudi Arabia,0.0
1981,South Africa,977.0
1981,United Kingdom,9712.0
1981,United States of America,12224.0
1982,Argentina,519.0
1982,Australia,2356.0
1982,Brazil,1265.0
1982,Canada,4315.0
1982,China,0.0
1982,France,4535.0
1982,Germany,8983.0
1982,India,0.0
1982,Indonesia,0.0
1982,Italy,3040.0
1982,Japan,43823.0
1982,Mexico,523.0
1982,Saudi Arabia,0.0
1982,South Africa,1318.0
1982,United Kingdom,4158.0
1982,United States of America,11286.0
1983,Argentina,369.0
1983,Australia,2364.0
1983,Brazil,1432.0
1983,Canada,3907.0
1983,China,0.0
1983,France,4054.0
1983,Germany,8059.0
1983,India,0.0
1983,Indonesia,0.0
1983,Italy,2113.0
1983,Japan,46683.0
1983,Mexico,420.0
1983,Saudi Arabia,0.0
1983,South Africa,1434.0
1983,United Kingdom,6965.0
1983,United States of America,10779.0
1984,Argentina,362.0
1984,Australia,2528.0
1984,Brazil,1138.0
1984,Canada,3929.0
1984,China,0.0
1984,France,3648.0
1984,Germany,7228.0
1984,India,0.0
1984,Indonesia,0.0
1984,Italy,2013.0
1984,Japan,47706.0
1984,Mexico,319.0
1984,Saudi Arabia,0.0
1984,South Africa,1336.0
1984,United Kingdom,5084.0
1984,United States of America,13159.0
1985,Argentina,92.0
1985,Australia,2787.0
1985,Brazil,1269.0
1985,Canada,3607.0
1985,China,40.0
1985,France,3827.0
1985,Germany,7628.0
1985,India,0.0
1985,Indonesia,0.0
1985,Italy,6885.0
1985,Japan,52597.0
1985,Mexico,257.0
1985,Saudi Arabia,0.0
1985,South Africa,1335.0
1985,United Kingdom,4507.0
1985,United States of America,13540.0
1986,Argentina,0.0
1986,Australia,3038.0
1986,Brazil,1190.0
1986,Canada,3255.0
1986,China,1101.0
1986,France,3686.0
1986,Germany,7466.0
1986,India,0.0
1986,Indonesia,0.0
1986,Italy,2202.0
1986,Japan,60121.0
1986,Mexico,187.0
1986,Saudi Arabia,0.0
1986,South Africa,1310.0
1986,United Kingdom,4286.0
1986,United States of America,14221.0
1987,Argentina,0.0
1987,Australia,3172.0
1987,Brazil,1262.0
1987,Canada,2783.0
1987,China,1784.0
1987,France,3690.0
1987,Germany,7130.0
1987,India,0.0
1987,Indonesia,0.0
1987,Italy,1711.0
1987,Japan,62434.0
1987,Mexico,225.0
1987,Saudi Arabia,0.0
1987,South Africa,1236.0
1987,United Kingdom,4036.0
1987,United States of America,17761.0
1988,Argentina,0.0
1988,Australia,3633.0
1988,Brazil,1391.0
1988,Canada,3265.0
1988,China,1328.0
1988,France,3713.0
1988,Germany,6757.0
1988,India,0.0
1988,Indonesia,0.0
1988,Italy,1655.0
1988,Japan,66230.0
1988,Mexico,523.0
1988,Saudi Arabia,0.0
1988,South Africa,1162.0
1988,United Kingdom,3980.0
1988,United States of America,16763.0
1989,Argentina,0.0
1989,Australia,3973.0
1989,Brazil,1249.0
1989,Canada,3190.0
1989,China,1514.0
1989,France,3653.0
1989,Germany,6866.0
1989,India,0.0
1989,Indonesia,0.0
1989,Italy,1733.0
1989,Japan,67928.0
1989,Mexico,363.0
1989,Saudi Arabia,0.0
1989,South Africa,1133.0
1989,United Kingdom,3697.0
1989,United States of America,20861.0
1990,Argentina,154.0
1990,Australia,4364.0
1990,Brazil,1196.0
1990,Canada,6739.0
1990,China,1738.0
1990,France,3412.0
1990,Germany,6406.0
1990,India,0.0
1990,Indonesia,0.0
1990,Italy,1617.0
