Year,Office,Value
1980,Africa,1181.0
1980,African Intellectual Property Organization,94.0
1980,African Regional Intellectual Property Organization,0.0
1980,Algeria,0.0
1980,Argentina,711.0
1980,Armenia,0.0
1980,Asia,36691.0
1980,Australia,2749.0
1980,Austria,996.0
1980,Belarus,0.0
1980,Belgium,1227.0
1980,Bosnia and Herzegovina,0.0
1980,Brazil,1416.0
1980,Bulgaria,285.0
1980,Canada,4427.0
1980,Chile,0.0
1980,China,0.0
1980,"China, Hong Kong SAR",131.0
1980,Colombia,0.0
1980,Costa Rica,0.0
1980,Croatia,0.0
1980,Cuba,25.0
1980,Cyprus,26.0
1980,Czech Republic,0.0
1980,Czechoslovakia,1011.0
1980,Denmark,1072.0
1980,Dominican Republic,0.0
1980,Ecuador,0.0
1980,Egypt,49.0
1980,El Salvador,0.0
1980,Estonia,0.0
1980,Eurasian Patent Organization,0.0
1980,Europe,60562.0
1980,European Patent Office,2608.0
1980,Finland,772.0
1980,France,6224.0
1980,Georgia,0.0
1980,German Democratic Republic,934.0
1980,Germany,9602.0
1980,Greece,158.0
1980,Guatemala,29.0
1980,Honduras,0.0
1980,Hungary,291.0
1980,Iceland,4.0
1980,India,0.0
1980,Indonesia,0.0
1980,Ireland,461.0
1980,Israel,512.0
1980,Italy,3956.0
1980,Japan,35573.0
1980,Jordan,0.0
1980,Kazakhstan,0.0
1980,Kenya,26.0
1980,Latin America and the Caribbean,2181.0
1980,Latvia,0.0
1980,Lithuania,0.0
1980,Luxembourg,198.0
1980,Malawi,8.0
1980,Malaysia,41.0
1980,Malta,4.0
1980,Mexico,0.0
1980,Monaco,28.0
1980,Mongolia,0.0
1980,Montenegro,0.0
1980,Morocco,39.0
1980,Netherlands (Kingdom of the),1477.0
1980,New Zealand,258.0
1980,Nicaragua,0.0
1980,Northern America,15837.0
1980,Norway,717.0
1980,Oceania,3007.0
1980,Panama,0.0
1980,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1980,Peru,0.0
1980,Philippines,174.0
1980,Poland,1647.0
1980,Portugal,320.0
1980,Republic of Korea,179.0
1980,Republic of Moldova,0.0
1980,Romania,372.0
1980,Russian Federation,0.0
1980,San Marino,0.0
1980,Saudi Arabia,0.0
1980,Serbia,0.0
1980,Singapore,0.0
1980,Slovakia,0.0
1980,Slovenia,0.0
1980,South Africa,936.0
1980,Soviet Union,11748.0
1980,Spain,1851.0
1980,Sweden,1754.0
1980,Switzerland,1028.0
1980,Tajikistan,0.0
1980,Tunisia,0.0
1980,Türkiye,55.0
1980,Ukraine,0.0
1980,United Kingdom,9627.0
1980,United States of America,11410.0
1980,Uruguay,0.0
1980,Uzbekistan,0.0
1980,Viet Nam,0.0
1980,World,120036.0
1980,Yugoslavia,190.0
1980,Zambia,17.0
