year,iso_code_2,iso_code_3,countries,economic_freedom_summary_index
2022,AR,ARG,Argentina,4.55
2022,AU,AUS,Australia,7.98
2022,BR,BRA,Brazil,6.56
2022,CA,CAN,Canada,7.99
2022,CN,CHN,China,6.14
2022,FR,FRA,France,7.49
2022,DE,DEU,Germany,7.8
2022,IN,IND,India,6.58
2022,ID,IDN,Indonesia,6.96
2022,IT,ITA,Italy,7.22
2022,JP,JPN,Japan,7.9
2022,KR,KOR,"Korea, Rep.",7.52
2022,MX,MEX,Mexico,6.94
2022,RU,RUS,Russian Federation,5.93
2022,SA,SAU,Saudi Arabia,7.03
2022,ZA,ZAF,South Africa,6.65
2022,TR,TUR,Türkiye,5.57
2022,GB,GBR,United Kingdom,7.88
2022,US,USA,United States,8.09
2021,AR,ARG,Argentina,4.55
2021,AU,AUS,Australia,8.0
2021,BR,BRA,Brazil,6.47
2021,CA,CAN,Canada,7.93
2021,CN,CHN,China,6.18
2021,FR,FRA,France,7.38
2021,DE,DEU,Germany,7.7
2021,IN,IND,India,6.57
2021,ID,IDN,Indonesia,6.94
2021,IT,ITA,Italy,7.22
2021,JP,JPN,Japan,7.86
2021,KR,KOR,"Korea, Rep.",7.42
2021,MX,MEX,Mexico,7.0
2021,RU,RUS,Russian Federation,6.23
2021,SA,SAU,Saudi Arabia,6.96
2021,ZA,ZAF,South Africa,6.58
2021,TR,TUR,Türkiye,6.06
2021,GB,GBR,United Kingdom,7.97
2021,US,USA,United States,8.07
2020,AR,ARG,Argentina,4.5
2020,AU,AUS,Australia,8.07
2020,BR,BRA,Brazil,6.41
2020,CA,CAN,Canada,7.86
2020,CN,CHN,China,6.16
2020,FR,FRA,France,7.36
2020,DE,DEU,Germany,7.74
2020,IN,IND,India,6.62
2020,ID,IDN,Indonesia,6.91
2020,IT,ITA,Italy,7.23
2020,JP,JPN,Japan,7.89
2020,KR,KOR,"Korea, Rep.",7.44
2020,MX,MEX,Mexico,7.06
2020,RU,RUS,Russian Federation,6.42
2020,SA,SAU,Saudi Arabia,6.85
2020,ZA,ZAF,South Africa,6.47
2020,TR,TUR,Türkiye,6.41
2020,GB,GBR,United Kingdom,7.76
2020,US,USA,United States,8.11
2019,AR,ARG,Argentina,5.16
2019,AU,AUS,Australia,8.21
2019,BR,BRA,Brazil,6.66
2019,CA,CAN,Canada,8.07
2019,CN,CHN,China,6.18
2019,FR,FRA,France,7.63
2019,DE,DEU,Germany,7.99
2019,IN,IND,India,6.56
2019,ID,IDN,Indonesia,7.1
2019,IT,ITA,Italy,7.53
2019,JP,JPN,Japan,8.04
2019,KR,KOR,"Korea, Rep.",7.62
2019,MX,MEX,Mexico,7.12
2019,RU,RUS,Russian Federation,6.55
2019,SA,SAU,Saudi Arabia,6.94
2019,ZA,ZAF,South Africa,6.62
2019,TR,TUR,Türkiye,6.4
2019,GB,GBR,United Kingdom,8.18
2019,US,USA,United States,8.34
2018,AR,ARG,Argentina,5.59
2018,AU,AUS,Australia,8.29
2018,BR,BRA,Brazil,6.68
2018,CA,CAN,Canada,8.11
2018,CN,CHN,China,6.18
2018,FR,FRA,France,7.6
2018,DE,DEU,Germany,7.99
2018,IN,IND,India,6.57
2018,ID,IDN,Indonesia,7.11
2018,IT,ITA,Italy,7.5
2018,JP,JPN,Japan,8.03
2018,KR,KOR,"Korea, Rep.",7.67
2018,MX,MEX,Mexico,7.07
2018,RU,RUS,Russian Federation,6.56
2018,SA,SAU,Saudi Arabia,6.54
2018,ZA,ZAF,South Africa,6.62
2018,TR,TUR,Türkiye,6.49
2018,GB,GBR,United Kingdom,8.16
2018,US,USA,United States,8.36
2017,AR,ARG,Argentina,5.69
2017,AU,AUS,Australia,8.27
2017,BR,BRA,Brazil,6.69
2017,CA,CAN,Canada,8.18
2017,CN,CHN,China,6.15
2017,FR,FRA,France,7.68
2017,DE,DEU,Germany,8.02
2017,IN,IND,India,6.61
2017,ID,IDN,Indonesia,7.08
2017,IT,ITA,Italy,7.52
2017,JP,JPN,Japan,8.04
2017,KR,KOR,"Korea, Rep.",7.73
2017,MX,MEX,Mexico,7.06
2017,RU,RUS,Russian Federation,6.58
2017,SA,SAU,Saudi Arabia,6.59
2017,ZA,ZAF,South Africa,6.6
2017,TR,TUR,Türkiye,6.65
2017,GB,GBR,United Kingdom,8.23
2017,US,USA,United States,8.43
2016,AR,ARG,Argentina,5.5
2016,AU,AUS,Australia,8.29
2016,BR,BRA,Brazil,6.54
2016,CA,CAN,Canada,8.25
2016,CN,CHN,China,6.07
2016,FR,FRA,France,7.71
2016,DE,DEU,Germany,8.09
2016,IN,IND,India,6.39
2016,ID,IDN,Indonesia,7.06
2016,IT,ITA,Italy,7.59
2016,JP,JPN,Japan,8.03
2016,KR,KOR,"Korea, Rep.",7.71
2016,MX,MEX,Mexico,7.02
2016,RU,RUS,Russian Federation,6.42
